編號,村別數,鄰數,戶數,男數,女數,總人口數,出生人數,死亡人數,結婚對數,離婚對數,遷入人數,遷出人數
"1","東門里","31","1710","2733","2810","5543","4","4","2","0","16","25"
"2","西門里","42","3498","5378","5686","11064","3","5","4","0","29","39"
"3","南門里","34","1896","2979","3088","6067","0","1","3","2","15","18"
"4","北門里","28","1394","2267","2166","4433","1","6","3","0","14","19"
"5","古城里","25","1449","2307","2320","4627","3","7","4","1","14","11"
"6","金水里","16","753","1276","1206","2482","2","3","1","2","7","2"
"7","珠沙里","21","1046","1649","1682","3331","1","4","2","0","16","5"
"8","賢庵里","25","1650","2814","2797","5611","2","2","1","0","34","15"
"9","新市里","30","1484","2145","2289","4434","2","1","1","0","9","5"
"10","山外里","24","1149","1978","1912","3890","2","0","1","1","29","13"
"11","正義里","20","949","1491","1500","2991","0","1","0","0","7","14"
"12","料羅里","18","704","1321","1204","2525","3","1","1","0","28","11"
"13","瓊林里","23","1149","1905","2023","3928","2","4","1","0","9","15"
"14","新湖里","45","3285","4813","4816","9629","5","3","4","3","45","29"
"15","溪湖里","13","549","900","939","1839","0","1","1","0","8","7"
"16","蓮庵里","13","612","969","1008","1977","1","2","0","0","6","3"
"17","汶沙里","28","1838","2772","2879","5651","1","5","3","0","16","12"
"18","三山里","20","652","1034","1068","2102","1","2","2","1","2","6"
"19","大洋里","10","446","669","655","1324","1","0","0","0","11","4"
"20","光前里","21","932","1316","1376","2692","1","0","2","0","7","7"
"21","何斗里","16","737","1105","1174","2279","1","1","0","0","7","5"
"22","西園里","14","532","885","849","1734","0","3","1","0","11","7"
"23","官嶼里","11","717","1167","1248","2415","0","0","1","0","4","7"
"24","浦山里","21","833","1295","1372","2667","0","3","1","0","4","5"
"25","古寧村","28","1117","1781","1897","3678","2","4","4","0","5","7"
"26","安美村","25","2008","3118","3048","6166","5","4","3","2","28","25"
"27","后盤村","11","626","976","1025","2001","3","2","1","0","15","7"
"28","湖埔村","31","2630","4819","4535","9354","6","3","4","0","44","40"
"29","榜林村","30","1906","3044","3138","6182","2","1","0","1","31","26"
"30","盤山村","26","2101","3933","4063","7996","4","3","6","2","45","28"
"31","上岐村","27","764","1475","1625","3100","1","2","2","0","10","10"
"32","上林村","13","435","752","815","1567","1","3","0","0","5","4"
"33","西口村","21","671","1260","1325","2585","1","2","1","0","7","4"
"34","林湖村","23","960","1934","1731","3665","2","1","4","0","9","15"
"35","黃埔村","13","451","889","948","1837","2","3","1","1","4","9"
"36","大坵村","1","50","170","147","317","0","0","0","0","0","1"
"37","小坵村","1","81","173","177","350","0","0","0","0","2","2"
